RegionType,Name,2008_Avg,2009_Avg,2010_Avg,2011_Avg,2012_Avg,2013_Avg,2014_Avg,2015_Avg,2016_Avg,2017_Avg,2018_Avg,2019_Avg,2020_Avg,2021_Avg
MetroArea,"Charleston, WV",5.033333333,5.741666667,5.958333333,6.308333333,5.741666667,5.341666667,4.541666667,4.516666667,4.95,5.491666667,5.65,5.4,3.983333333,3.833333333
MetroArea,"Charleston-North Charleston, SC",4.883333333,7.541666667,8.225,7.591666667,7.275,6.108333333,5.116666667,4.575,4.383333333,3.991666667,3.483333333,3.2,2.283333333,1.833333333
MetroArea,"Charlotte-Concord-Gastonia, NC-SC",5.85,8.416666667,9.05,8.141666667,8.016666667,6.391666667,5.408333333,4.683333333,4.191666667,3.775,3.133333333,2.95,2.025,1.466666667
MetroArea,"Charlottesville, VA",2.7,4.483333333,4.933333333,5.641666667,4.833333333,4.008333333,3.616666667,3.091666667,2.95,2.541666667,2.05,2.083333333,1.175,1
MetroArea,"Chattanooga, TN-GA",5.983333333,7.683333333,7.916666667,6.933333333,6.291666667,5.7,5.15,4.333333333,3.858333333,3.558333333,3.308333333,3.241666667,1.933333333,1.4
MetroArea,"Chicago-Naperville-Elgin, IL-IN-WI",5.183333333,8.266666667,8.958333333,8.183333333,7.916666667,6.325,4.933333333,4.216666667,3.658333333,3.266666667,2.958333333,2.8,1.941666667,1.433333333
MetroArea,"Chico, CA",4.191666667,7.116666667,7.358333333,6.75,5.358333333,4.116666667,2.85,2.166666667,2.466666667,2.116666667,1.816666667,2.15,1.758333333,1.433333333
MetroArea,"Cincinnati, OH-KY-IN",5.025,6.1,6.591666667,6.175,6.033333333,4.975,4.25,3.833333333,3.291666667,2.966666667,2.733333333,2.508333333,1.65,1.233333333
MetroArea,"Clarksville, TN-KY",5.458333333,6.841666667,6.583333333,6.1,6.691666667,6.033333333,5.658333333,4.708333333,4.216666667,4.166666667,4.041666667,3.8,2.466666667,1.533333333
MetroArea,"Cleveland-Elyria, OH",5.675,7.541666667,7.85,7.183333333,7.316666667,6.383333333,5.15,4.533333333,4.158333333,3.725,3.15,2.891666667,2,1.566666667
MetroArea,"Coeur d'Alene, ID",3.575,6.075,5.891666667,5.633333333,4.875,4.141666667,3.233333333,2.533333333,2.258333333,1.858333333,1.808333333,1.65,1.383333333,1
MetroArea,"College Station-Bryan, TX",3.316666667,4.508333333,5.233333333,4.925,4.4,3.75,3.541666667,3.558333333,3.2,2.941666667,2.491666667,2.391666667,1.758333333,1.3
MetroArea,"Colorado Springs, CO",4.15,4.991666667,4.95,4.458333333,4.083333333,3.316666667,2.75,2.341666667,2.025,1.975,1.733333333,1.766666667,1.25,0.933333333
MetroArea,"Columbia, MO",2.641666667,3.691666667,3.666666667,3.975,3.191666667,3.016666667,2.408333333,2.116666667,1.808333333,1.758333333,1.583333333,1.475,1.083333333,0.9
MetroArea,"Columbia, SC",5.933333333,7.541666667,8.566666667,8.016666667,8.125,6.916666667,6.225,5.775,5.675,5.075,4.6,4.258333333,2.766666667,2.233333333
MetroArea,"Columbus, GA-AL",5.758333333,7.8,7.5,7.316666667,8.166666667,7.3,5.808333333,5.541666667,5.208333333,4.266666667,4.008333333,4.058333333,2.491666667,1.833333333
MetroArea,"Columbus, OH",5.341666667,6.55,6.75,6.141666667,6.008333333,5.158333333,4.4,3.783333333,3.358333333,3.041666667,2.608333333,2.325,1.616666667,1.233333333
MetroArea,"Corpus Christi, TX",6.383333333,8.083333333,8.633333333,7.491666667,6.483333333,5.45,4.966666667,4.308333333,4.841666667,4.033333333,4.05,4.275,2.991666667,2.233333333
MetroArea,"Crestview-Fort Walton Beach-Destin, FL",5.275,7.308333333,7.483333333,7.15,7.141666667,5.283333333,4.5,3.491666667,2.9,2.641666667,2.4,2.2,1.408333333,1
MetroArea,"Dallas-Fort Worth-Arlington, TX",6.15,7.675,8.091666667,7.225,6.85,5.858333333,5.05,4.325,3.7,3.366666667,3.25,3.1,1.875,1.166666667
MetroArea,"Daphne-Fairhope-Foley, AL",4.791666667,6.666666667,7.225,5.85,5.55,4.5,3.45,3.216666667,2.616666667,2.633333333,2.475,2.958333333,1.741666667,1.5
MetroArea,"Davenport-Moline-Rock Island, IA-IL",3.908333333,5.2,4.975,5.191666667,5.133333333,4.4,4.166666667,3.816666667,3.358333333,3.491666667,3.041666667,3.058333333,2.2,1.9
MetroArea,"Dayton, OH",5.233333333,6.708333333,6.975,6.558333333,6.408333333,5.741666667,4.908333333,4.2,3.8,3.375,2.941666667,2.441666667,2.05,1.666666667
